start reading files at Sun Dec  3 16:15:13 2023

omp_get_num_threads()=4
Invalid line in data file "TypeOutput				1	1	1	1
"
Invalid line in data file "
"
start initialization at Sun Dec  3 16:15:13 2023

N0a = 9.743096e-01, count=36
N0p = 5.500161e-01, count=8
line:1206 CellCount[DIM]: 35 12 1
line:1207 TotalCellCount: 420
line:1212 CellWidth[DIM]: 1.785714e-02 1.875000e-02 2.000000e-02
start main roop at Sun Dec  3 16:15:14 2023

@ Prof Output Time : 0.000000e+00
line:4564, iter,=123, rr0=,3.838726e+10, rr=,3.622274e-02, rs0=,1.462404e+02, rs=,7.570797e-12
@ Vtk Output Time : 0.000000e+00
line:4564, iter,=134, rr0=,6.618534e+10, rr=,6.396449e-02, rs0=,2.691310e+02, rs=,1.435051e-11
line:4564, iter,=158, rr0=,1.042563e+11, rr=,8.944071e-02, rs0=,4.402904e+02, rs=,1.987047e-11
line:4564, iter,=174, rr0=,1.569892e+11, rr=,1.554518e-01, rs0=,6.723974e+02, rs=,3.499730e-11
line:4564, iter,=191, rr0=,2.259567e+11, rr=,2.111982e-01, rs0=,9.721553e+02, rs=,4.605795e-11
line:4564, iter,=205, rr0=,3.118523e+11, rr=,2.972319e-01, rs0=,1.342363e+03, rs=,6.393211e-11
line:4564, iter,=216, rr0=,4.150152e+11, rr=,3.742012e-01, rs0=,1.784411e+03, rs=,7.902555e-11
line:4564, iter,=224, rr0=,5.356273e+11, rr=,4.973955e-01, rs0=,2.299113e+03, rs=,1.039135e-10
line:4564, iter,=230, rr0=,6.737975e+11, rr=,6.377951e-01, rs0=,2.887026e+03, rs=,1.317818e-10
line:4564, iter,=234, rr0=,8.295987e+11, rr=,7.997302e-01, rs0=,3.548510e+03, rs=,1.619920e-10
line:4564, iter,=237, rr0=,1.003082e+12, rr=,9.929829e-01, rs0=,4.283843e+03, rs=,1.971144e-10
line:4564, iter,=240, rr0=,1.194284e+12, rr=,1.130642e+00, rs0=,5.093229e+03, rs=,2.217044e-10
line:4564, iter,=242, rr0=,1.403230e+12, rr=,1.324698e+00, rs0=,5.976817e+03, rs=,2.608703e-10
line:4564, iter,=243, rr0=,1.629936e+12, rr=,1.586081e+00, rs0=,6.934714e+03, rs=,3.148014e-10
line:4564, iter,=244, rr0=,1.874414e+12, rr=,1.843288e+00, rs0=,7.966994e+03, rs=,3.673090e-10
line:4564, iter,=245, rr0=,2.136668e+12, rr=,2.080373e+00, rs0=,9.073721e+03, rs=,4.128053e-10
line:4564, iter,=246, rr0=,2.416699e+12, rr=,2.281190e+00, rs0=,1.025488e+04, rs=,4.532938e-10
line:4564, iter,=246, rr0=,2.714505e+12, rr=,2.637288e+00, rs0=,1.151050e+04, rs=,5.236726e-10
line:4564, iter,=247, rr0=,3.030079e+12, rr=,2.801472e+00, rs0=,1.284058e+04, rs=,5.594147e-10
line:4564, iter,=247, rr0=,3.363415e+12, rr=,3.186368e+00, rs0=,1.424512e+04, rs=,6.408138e-10
line:4564, iter,=247, rr0=,3.714503e+12, rr=,3.694694e+00, rs0=,1.572409e+04, rs=,7.500775e-10
line:4564, iter,=248, rr0=,4.083330e+12, rr=,3.808215e+00, rs0=,1.727745e+04, rs=,7.781976e-10
line:4564, iter,=248, rr0=,4.469883e+12, rr=,4.354982e+00, rs0=,1.890513e+04, rs=,8.966584e-10
line:4564, iter,=248, rr0=,4.874146e+12, rr=,4.795617e+00, rs0=,2.060708e+04, rs=,9.976778e-10
line:4564, iter,=249, rr0=,5.296105e+12, rr=,4.900642e+00, rs0=,2.238327e+04, rs=,1.023381e-09
line:4564, iter,=249, rr0=,5.735741e+12, rr=,5.348325e+00, rs0=,2.423360e+04, rs=,1.118807e-09
line:4564, iter,=249, rr0=,6.193040e+12, rr=,5.851488e+00, rs0=,2.615803e+04, rs=,1.230727e-09
line:4564, iter,=249, rr0=,6.667984e+12, rr=,6.309432e+00, rs0=,2.815649e+04, rs=,1.326286e-09
